SKU,Product Name,Product ID,Brand,Model,Ext,Product Description,Item Type,Standard Price,Bullet Point1,Bullet Point2,Bullet Point3,Bullet Point4,Bullet Point5,Search Terms1,Search Terms2,Search Terms3,Search Terms4,Search Terms5,Lens Color,Frame Material Type,Lens Material Type,Item Shape,Polarization Type,Lens Width,Bridge Width,Arm Length,Department,Frame Color,Special Features1
0I-6VEP-8MLS,"Miu Miu MU 04RS REVEAL Collection Women Sunglasses (Ivory Frame, Light Brown Gradient Lens 7S3/1L0)",710377986295,Miu Miu,m04RS,eREVEAL-7S31L0,Miu Miu Reveal. Square frame with lenses applied to the frame front. Lettering logo on the temples.,sunglasses,289.99,Model: Miu Miu MU 04RS Reveal Collection.,Style: Square frame with lenses applied to the frame front.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex round mirrored,for her him unisex men women reveal noir rasoir,gradient mirror sunglasses glasses frame shades lenses,brown,Composite,gradient,Square,non-polarized,67,16,140,womens,Ivory ,prescription-ready
58-YHRY-DVK6,"Miu Miu MU 04RS REVEAL Collection Women Sunglasses (Lilac Havana Frame , Lilac Grey Gradient Lens UAH/3H0)",710377986271,Miu Miu,m04RS,EREVEAL-UAH3Ho,Miu Miu Reveal. Square frame with lenses applied to the frame front. Lettering logo on the temples.,sunglasses,289.99,Model: Miu Miu MU 04RS Reveal Collection.,Style: Square frame with lenses applied to the frame front.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex round mirrored,for her him unisex men women reveal noir rasoir,gradient mirror sunglasses glasses frame shades lenses,grey,Composite,gradient,Square,non-polarized,67,16,140,womens,Lilac  ,prescription-ready
O4-0Z9B-YVDU,"Miu Miu MU 04RS REVEAL Collection Women Sunglasses (Orange Havana Frame, Dark Brown Gradient Lens NAI/0A3)",710377986288,Miu Miu,m04RS,eREVEAL-NAI0A3,Miu Miu Reveal. Square frame with lenses applied to the frame front. Lettering logo on the temples.,sunglasses,289.99,Model: Miu Miu MU 04RS Reveal Collection.,Style: Square frame with lenses applied to the frame front.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex round mirrored,for her him unisex men women reveal noir rasoir,gradient mirror sunglasses glasses frame shades lenses,brown,Composite,gradient,Square,non-polarized,67,16,140,womens,Orange  ,prescription-ready
6E-CRGO-X6IT,Miu Miu MU 04RS REVEAL Green Havana Frame / Grey Green Gradient Lens (UAG/0A7),710377986042,Miu Miu,m04RS,eREVEAL-UAG0A7,,sunglasses,284.99,Model: Miu Miu MU 04RS Reveal Collection.,Color: Green Havana Frame / Grey Green Gradient Lens (UAG/0A7).,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,Made in Italy.,miu miu miu miu miu-miu gift for her girlfriend,reveal,sunglasses women authentic gradient,Authentic made in italy round new original,Sunglasses glasses shades gradient lens lenses,Black,Composite,gradient,cateye,non-polarized,67,17,140,womens,,prescription-ready
IF-LZ0I-D50F,Miu Miu MU 05QS Sunglasses 1AB/3HO Black / Brown Gradient Lilac Lens,719363476666,Miu Miu,m05QS,e1AB3HO,,sunglasses,249.99,Model: Miu Miu MU 05QS.,Color: 1AB/3HO Black / Brown Gradient Lilac Lens.,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,,miu miu,smu05QS.,sunglasses,05QS,1AB3HO,black,metal,gradient,round,non-polarized,54,23,140,womens,,prescription-ready
F6-YFPL-EBI6,Miu Miu MU 06OS Havana Dark Brown Sand Frame / Grey Milky Mirror Lens (HAO/2E2),710377981610,Miu Miu,m06OS,eHA02E2,,sunglasses,289.99,Model: Miu Miu MU06OS.,Color: Havana Dark Brown Sand Frame / Grey Milky Mirror Lens (HAO/2E2).,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,Made in Italy.,miu miu miu miu miu-miu gift for her girlfriend,rasoir rasor semi rimless swarovski crystalls,sunglasses women authentic made in italy,MU06 06qs noir,SMU04Q EDHE F00A7,grey,composite,mirrored,cateye,non-polarized,53,25,140,womens,,prescription-ready
OX-7AD5-BQVL,"Miu Miu MU 06RS Crystal Pavé Embellishment Women Sunglasses (Opal Bordeaux Frame, Grey Lens TKW/5J0)",710377986325,Miu Miu,m06RS,eTKW5J,Square acetate frame. Crystal pavé embellishment on the temples. Miu Miu lettering logo.,sunglasses,284.99,Model: Miu Miu MU 06RS.,Style: Square.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex round mirrored,for her him unisex men women pave crystal svarowski,gradient mirror sunglasses glasses frame shades lenses,not,Composite,Composite,Square,non-polarized,57,18,140,womens,Red,prescription-ready
OX-7AD4-BQVL,"Miu Miu MU 06RS Crystal Pavé Embellishment Women Sunglasses (Black Frame , Dark Grey Lens 1AB/1A1)",710377986318,Miu Miu,m06RS,e1AB1A1,Square acetate frame. Crystal pavé embellishment on the temples. Miu Miu lettering logo.,sunglasses,284.99,Model: Miu Miu MU 06RS.,Style: Square.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex round mirrored,for her him unisex men women pave crystal svarowski,gradient mirror sunglasses glasses frame shades lenses,not,Composite,Composite,Square,non-polarized,57,18,140,womens,Black ,prescription-ready
L6-1SGK-MLF3,"Miu Miu MU 07OS Women Sunglasses (Black Opal Frame , Grey Gradient Lens KAY/0A7 )",710377986400,Miu Miu,m07OS,eKAY0A7,Noir forties-style glitter fabric frame with elegant antiqued metal temples engraved lettering logo.,sunglasses,274.99,Model: Miu Miu MU 07OS.,Style: Square.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex round mirrored,for her him unisex men women pave crystal svarowski,gradient mirror sunglasses glasses frame shades lenses,not,Composite,gradient,Square,non-polarized,57,18,140,womens,Black ,prescription-ready
PF-W8IU-1SOW,"Miu Miu MU 07OS Women Sunglasses (Havana Opal Frame, Brown Gradient Lens KAZ/0A6)",710377986417,Miu Miu,m07OS,eKAZ0A6,Noir forties-style glitter fabric frame with elegant antiqued metal temples engraved lettering logo.,sunglasses,274.99,Model: Miu Miu MU 07OS.,Style: Square.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex round mirrored,for her him unisex men women pave crystal svarowski,gradient mirror sunglasses glasses frame shades lenses,not,Composite,gradient,Square,non-polarized,57,18,140,womens,Opal ,prescription-ready
